k_h_per_mpc,sobol_baseline_p68_k,this_method_p68_k,improvement_fraction
1.9069335460662842,0.019706380839180127,0.014163659890833392,0.2812652913581537
1.9132075309753418,0.019687685721127668,0.014158068119857915,0.28086681591710355
1.919490933418274,0.019684338459896613,0.014149091798007985,0.2812005429171888
1.9257768392562866,0.019681178127153955,0.014140314238494378,0.2815311081918868
1.932064414024353,0.01967687247533696,0.014130043266897664,0.28189587625735263
1.938342571258545,0.019678117320809797,0.014160393951796423,0.2803989466603255
1.9446183443069458,0.019670710832086158,0.014170767054511747,0.27960066235141334
1.9509062767028809,0.019663152307955966,0.01418735874544348,0.27847994445412033
1.9571945667266846,0.019654335366198872,0.014199310838954139,0.27754815543781625
1.9634796380996704,0.01964743510345759,0.01421237856862574,0.2766293160513038
1.9697604179382324,0.019640799490991602,0.014236460771289084,0.2751587949452495
1.9760483503341675,0.01963043269725029,0.014242958018633334,0.274445029394161
1.9823379516601562,0.019623637629719328,0.014267247175196097,0.2729560418712156
1.9886175394058228,0.019607373853462118,0.014279539012954824,0.2717260802147936
1.9948962926864624,0.019582639807222392,0.014292250473620639,0.27015710780987623
2.0011796951293945,0.01955779240591258,0.01430350056091312,0.2686546485385036
2.0074596405029297,0.019528159478715956,0.014324012188566384,0.2664945099317554
2.013737440109253,0.01950252778360806,0.01433745981539878,0.2648409491076606
2.020017147064209,0.019480748069161603,0.014352298807857268,0.2632573062952735
2.0263102054595947,0.01945846501310262,0.014366533556673769,0.26168207271231986
2.0326006412506104,0.01943827016036479,0.014382697045748129,0.26008348854648217
2.0388739109039307,0.0194155055611251,0.014375463818498947,0.2595884885283456
2.045154094696045,0.019394176061338753,0.014366388359225126,0.2592421398162024
2.0514447689056396,0.019362102979841023,0.014354289534705012,0.258639955089069
2.0577304363250732,0.019346898390246104,0.014346210367455937,0.25847492047155757
2.064013957977295,0.01933329528838392,0.014333209347582731,0.2586256438034858
2.0702998638153076,0.019317916965373837,0.014326301042518108,0.2583930727004826
2.076589822769165,0.019303192571989803,0.014314760830350059,0.25842521764396037
2.0828654766082764,0.019289450101011952,0.014316773207449885,0.2577925688665014
2.089134454727173,0.01927634954145643,0.014324704652809573,0.2568766912011876
2.095424175262451,0.019260002053585402,0.01433943030673448,0.25548137186906056
2.1017072200775146,0.01924612061397988,0.014348093012124096,0.25449427965747984
2.1079864501953125,0.01923137623361835,0.01436121951455096,0.25324015608169903
2.114271879196167,0.01921765361443124,0.014369035440233779,0.25230021684626763
2.1205527782440186,0.01920055306473958,0.01438186617731343,0.25096604619558166
2.1268370151519775,0.019189138202509292,0.014389223857654355,0.2501370459788168
2.133121967315674,0.019173011422944565,0.014404443062925987,0.24871253945595512
2.139411687850952,0.019159399094484674,0.014413683146607782,0.2476964921745912
2.1456971168518066,0.01914381400840024,0.014400281029160023,0.24778411329940692
2.1519734859466553,0.019129262569652552,0.014370530228306566,0.24876716099320184
2.158259868621826,0.01911617006160591,0.014350218919594537,0.2493151675598242
2.1645452976226807,0.019102458981213478,0.014321862124353091,0.2502608099596977
2.170830726623535,0.019094646164488884,0.014300086182308627,0.25109446600256474
2.177114248275757,0.019089098247545924,0.01426981948703039,0.2524623582538843
2.1833877563476562,0.019085939526876896,0.014247515733924467,0.2535072368923176
2.1896703243255615,0.019080941669306118,0.014238300182552923,0.2537946800887264
2.19596004486084,0.019076822508347392,0.014247365082024201,0.253158377093983
2.202242612838745,0.01907341667984244,0.014232132517761011,0.2538236459332372
2.208521604537964,0.019068776775839336,0.014217239615595425,0.25442309264383134
2.2148046493530273,0.01906512848489248,0.014199830943881686,0.2551935354050268
2.221092700958252,0.01906175490125972,0.014182902145175858,0.25594982106088443
